Accession	Organism_Name	GenBank_RefSeq	Assembly	SRA_Accession	Submitters	Organization	Org_location	Release_Date	Isolate	Species	Genus	Family	Molecule_type	Length	Nuc_Completeness	Genotype	Segment	Publications	Geo_Location	Country	USA	Host	Tissue_Specimen_Source	Collection_Date	BioSample	BioProject	GenBank_Title	date	country	strain	virus	accession	latitude	longitude
MG659909.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA71/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA71/10 segment S, complete sequence	2010		SA71/10	rvf	MG659909.1		
GQ443242.1	Rift Valley fever virus	GenBank						25-JUL-2016	0878-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0878-08 segment M glycoprotein G2 gene, partial cds	2008-03-26		0878-08	rvf	GQ443242.1		
PP747233.1	Rift Valley fever virus	GenBank						15-JAN-2025	Rwanda2018RU1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6256	partial		unknown					Bos taurus		01-Jan-2018			Rift Valley fever virus strain Rwanda2018RU1 polymerase gene, partial cds	2018-01-01		Rwanda2018RU1	rvf	PP747233.1		
MG659941.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA420/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA420/10 segment S, complete sequence	2010		SA420/10	rvf	MG659941.1		
PV231439.1	Rift Valley fever virus	GenBank						23-MAR-2025	BOT_BOV/2014/1894_S3	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1071	complete		L					bovine		2014			Rift Valley fever virus isolate BOT_BOV/2014/1894_S3 segment L, complete sequence	2014		BOT_BOV/2014/1894_S3	rvf	PV231439.1		
PG403432.1	synthetic construct	GenBank						28-FEB-2025					other DNA	3885	partial		unknown										JP 2023543101-A/41: ATTENUATED VARIANT OF THE RIFT VALLEY FEVER VIRUS, COMPOSITION COMPRISING SAME, AND USES THEREOF			PG403432.1	rvf	PG403432.1		
KU645396.1	Rift Valley fever virus	GenBank						12-JUN-2016	RFV-Moz-Gob-T7-2014	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	547	partial		M					Capra aegagrus hircus	serum	Mar-2014			Rift Valley fever virus isolate RFV-Moz-Gob-T7-2014 envelope glycoprotein gene, partial cds	2014		RFV-Moz-Gob-T7-2014	rvf	KU645396.1		
GQ443157.1	Rift Valley fever virus	GenBank						25-JUL-2016	0878-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S					Homo sapiens	serum	26-Mar-2008			Rift Valley fever virus strain 0878-08 segment S nonstructural protein gene, partial cds	2008-03-26		0878-08	rvf	GQ443157.1		
MG659975.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1797/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA1797/10 segment S, complete sequence	2010		SA1797/10	rvf	MG659975.1		
KX944845.1	Rift Valley fever virus	GenBank						25-OCT-2018	M66/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3877	partial		M					bovine		2009			Rift Valley fever virus isolate M66/09 glycoprotein gene, complete cds	2009		M66/09	rvf	KX944845.1		
GQ443196.1	Rift Valley fever virus	GenBank						25-JUL-2016	0851-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0851-08 segment L polymerase gene, partial cds	2008-03-23		0851-08	rvf	GQ443196.1		
ON060796.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902737_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6389	partial		unknown			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902737_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902737_L|Uganda|2018	rvf	ON060796.1	1.3733	32.2903
HM587093.1	Rift Valley fever virus	GenBank						09-DEC-2011	SA276/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M					Homo sapiens		2010			Rift Valley fever virus isolate SA276/10 segment M glycoprotein G2 gene, partial cds	2010		SA276/10	rvf	HM587093.1		
JF326195.1	Rift Valley fever virus	GenBank						08-FEB-2012	2007000324	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		Feb-2007			Rift Valley fever virus strain 2007000324 segment M, complete sequence	2007		2007000324	rvf	JF326195.1		
PP747230.1	Rift Valley fever virus	GenBank						15-JAN-2025	AM-M1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6232	partial		unknown					Bos taurus		16-Jan-2021			Rift Valley fever virus strain AM-M1 polymerase gene, partial cds	2021-01-16		AM-M1	rvf	PP747230.1		
KX632066.1	Rift Valley fever virus	GenBank						27-AUG-2016	BJ01	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6402	complete		L					Homo sapiens	blood	22-Jul-2016			Rift Valley fever virus isolate BJ01 segment L, complete sequence	2016-07-22		BJ01	rvf	KX632066.1		
EF076013.1	Belterra virus	GenBank						14-JUL-2016	Be An 356637				viral cRNA	463	partial		S										Belterra virus strain Be An 356637 N protein gene, partial cds			Be An 356637	rvf	EF076013.1		
PV231441.1	Rift Valley fever virus	GenBank						23-MAR-2025	BOT_CAP/2017/2928_S5	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1071	complete		L					caprine		2017			Rift Valley fever virus isolate BOT_CAP/2017/2928_S5 segment L, complete sequence	2017		BOT_CAP/2017/2928_S5	rvf	PV231441.1		
HM587079.1	Rift Valley fever virus	GenBank						09-DEC-2011	SPU44/85	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M					Homo sapiens		1985			Rift Valley fever virus isolate SPU44/85 segment M glycoprotein G2 gene, partial cds	1985		SPU44/85	rvf	HM587079.1		
MG659884.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1372/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1372/10 segment L, complete sequence	2010		SA1372/10	rvf	MG659884.1		
MG659736.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU68/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SPU68/10 segment M, complete sequence	2010		SPU68/10	rvf	MG659736.1		
MG659734.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU59/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SPU59/10 segment M, complete sequence	2010		SPU59/10	rvf	MG659734.1		
PP746370.1	Rift Valley fever virus	GenBank						22-AUG-2024	Rwanda2022P71	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3513	partial		M					Bos taurus		2022-06-14			Rift Valley fever virus strain Rwanda2022P71 glycoprotein gene, partial cds	2022-06-14		Rwanda2022P71	rvf	PP746370.1		
GQ443146.1	Rift Valley fever virus	GenBank						25-JUL-2016	0849-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0849-08 segment S nonstructural protein gene, partial cds	2008-03-23		0849-08	rvf	GQ443146.1		
OR780627.1	Rift Valley fever virus	GenBank						06-DEC-2023	BDI0006	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	5924	partial		unknown					Bos taurus		19-May-2022			Rift Valley fever virus isolate BDI0006 polymerase gene, partial cds	2022-05-19		BDI0006	rvf	OR780627.1		
MW405250.1	Phlebovirus riftense	GenBank						26-DEC-2023	ML_277022_2015	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6201	partial		L					Homo sapiens		06-Nov-2015			Rift Valley fever phlebovirus isolate ML_277022_2015 segment L polymerase gene, partial cds	2015-11-06		ML_277022_2015	rvf	MW405250.1		
MG659927.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA220/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA220/10 segment S, complete sequence	2010		SA220/10	rvf	MG659927.1		
EU574017.1	Rift Valley fever virus	GenBank						29-OCT-2008	2007001564	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					bovine		29-Jan-2007			Rift Valley fever virus strain 2007001564 segment L, complete sequence	2007-01-29		2007001564	rvf	EU574017.1		
EF076014.1	Icoaraci virus	GenBank						14-JUL-2016	Be An 24262				viral cRNA	464	partial		S										Icoaraci virus strain Be An 24262 N protein gene, partial cds			Be An 24262	rvf	EF076014.1		
MG659788.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1081/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA1081/10 segment M, complete sequence	2010		SA1081/10	rvf	MG659788.1		
HM587083.1	Rift Valley fever virus	GenBank						09-DEC-2011	ArB1976	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M					Mansonia africana		1969			Rift Valley fever virus isolate ArB1976 segment M glycoprotein G2 gene, partial cds	1969		ArB1976	rvf	HM587083.1		
GQ443237.1	Rift Valley fever virus	GenBank						25-JUL-2016	0852-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0852-08 segment M glycoprotein G2 gene, partial cds	2008-03-23		0852-08	rvf	GQ443237.1		
HM587113.1	Rift Valley fever virus	GenBank						09-DEC-2011	Ar11186	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M					Aedes lineatopennis		1969			Rift Valley fever virus isolate Ar11186 segment M glycoprotein G2 gene, partial cds	1969		Ar11186	rvf	HM587113.1		
KX944805.1	Rift Valley fever virus	GenBank						25-OCT-2018	M12/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1676	partial		S					ovine		2010			Rift Valley fever virus isolate M12/10 nonstructural protein and nucleocapsid protein genes, complete cds	2010		M12/10	rvf	KX944805.1		
GQ443190.1	Rift Valley fever virus	GenBank						25-JUL-2016	0779-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	564	partial		L					Homo sapiens	serum	16-Mar-2008			Rift Valley fever virus strain 0779-08 segment L polymerase gene, partial cds	2008-03-16		0779-08	rvf	GQ443190.1		
JQ820478.1	Rift Valley fever virus	GenBank						26-JAN-2013	Sudan 133-2007	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S			Sudan		Homo sapiens	human sera	Nov-2007			Rift Valley fever virus strain Sudan 133-2007 segment S, complete sequence	2007	Sudan	Sudan 133-2007	rvf	JQ820478.1	12.8628	30.2176
MG659864.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA632/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA632/10 segment L, complete sequence	2010		SA632/10	rvf	MG659864.1		
MG972979.1	Rift Valley fever virus	GenBank						05-MAR-2020	201707025	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3817	partial		M					Homo sapiens		07-Dec-2017			Rift Valley fever virus strain 201707025 segment M glycoprotein gene, partial cds	2017-12-07		201707025	rvf	MG972979.1		
KX096943.1	Rift Valley fever virus	GenBank						13-JUL-2016	SA01-1322	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Aedes vexans arabiensis		2001			Rift Valley fever virus strain SA01-1322 segment S, complete sequence	2001		SA01-1322	rvf	KX096943.1		
MG659919.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA106/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA106/10 segment S, complete sequence	2010		SA106/10	rvf	MG659919.1		
OR972328.1	Rift Valley fever virus	GenBank						25-DEC-2023	AFI-MGT-989	Phlebovirus riftense	Phlebovirus	Phenuiviridae	viral cRNA	1684	complete		S					Homo sapiens	plasma	2018-07-16			Rift Valley fever virus isolate AFI-MGT-989 segment S, complete sequence	2018-07-16		AFI-MGT-989	rvf	OR972328.1		
GQ443234.1	Rift Valley fever virus	GenBank						25-JUL-2016	0849-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0849-08 segment M glycoprotein G2 gene, partial cds	2008-03-23		0849-08	rvf	GQ443234.1		
KY126708.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU86/09	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					bovine		2009			Rift Valley fever virus isolate SPU86/09 segment M, complete sequence	2009		SPU86/09	rvf	KY126708.1		
KY126680.1	Rift Valley fever virus	GenBank						13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					African buffalo		2008			Rift Valley fever virus isolate J40/6 segment L, complete sequence	2008		J40/6	rvf	KY126680.1		
AF134539.1	Rift Valley fever virus	GenBank						26-JUL-2016	H D 47408	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	142	partial		S										Rift Valley fever virus S segment strain H D 47408 nucleocapsid protein (N) gene, partial cds			H D 47408	rvf	AF134539.1		
MG659822.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU68/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SPU68/10 segment L, complete sequence	2010		SPU68/10	rvf	MG659822.1		
MZ513005.1	Rift Valley fever virus	GenBank						04-MAR-2022	SH326064	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1396	partial		S					Homo sapiens	serum	2020			Rift Valley fever virus isolate SH326064 nonstructural protein gene, complete cds; and nucleocapsid gene, partial cds	2020		SH326064	rvf	MZ513005.1		
MG659820.1	Rift Valley fever virus	GenBank						13-NOV-2020	SPU59/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SPU59/10 segment L, complete sequence	2010		SPU59/10	rvf	MG659820.1		
ON060819.1	Rift Valley fever virus	GenBank						25-MAR-2023	201902764_L|Uganda|2018	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		unknown			Uganda		Homo sapiens		2018			Rift Valley fever virus isolate 201902764_L|Uganda|2018 RNA-dependent RNA polymerase gene, complete cds	2018	Uganda	201902764_L|Uganda|2018	rvf	ON060819.1	1.3733	32.2903
MG659928.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA225/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1690	complete		S					Homo sapiens		2010			Rift Valley fever virus isolate SA225/10 segment S, complete sequence	2010		SA225/10	rvf	MG659928.1		
ON060784.1	Rift Valley fever virus	GenBank						25-MAR-2023	201901671_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6388	partial		unknown			Uganda		Homo sapiens		2017			Rift Valley fever virus isolate 201901671_L|Uganda RNA-dependent RNA polymerase gene, complete cds	2017	Uganda	201901671_L|Uganda	rvf	ON060784.1	1.3733	32.2903
GQ443148.1	Rift Valley fever virus	GenBank						25-JUL-2016	0851-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	627	partial		S					Homo sapiens	serum	23-Mar-2008			Rift Valley fever virus strain 0851-08 segment S nonstructural protein gene, partial cds	2008-03-23		0851-08	rvf	GQ443148.1		
KX944824.1	Rift Valley fever virus	GenBank						25-OCT-2018	M84/08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1638	partial		S					bovine		2008			Rift Valley fever virus isolate M84/08 nonstructural protein gene, partial cds; and nucleocapsid protein gene, complete cds	2008		M84/08	rvf	KX944824.1		
PP746462.1	Rift Valley fever virus	GenBank						12-FEB-2025	E358	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1689	partial		S					Homo sapiens		10-Feb-1998			Rift Valley fever virus strain E358 nonstructural protein and nucleocapsid genes, complete cds	1998-02-10		E358	rvf	PP746462.1		
OQ440150.1	Rift Valley fever virus	GenBank						02-JUL-2023	Kenya 56 (IB8)	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	partial		unknown			Kenya		bovine					Rift Valley fever virus strain Kenya 56 (IB8) polymerase (L) gene, complete cds		Kenya	Kenya 56 (IB8)	rvf	OQ440150.1	0.0236	37.9062
MG659879.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA1143/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6404	complete		L					Homo sapiens		2010			Rift Valley fever virus isolate SA1143/10 segment L, complete sequence	2010		SA1143/10	rvf	MG659879.1		
OK415594.1	Rift Valley fever virus	GenBank						30-APR-2022	2018/MRT/2	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	200	partial		M					mosquito		2018			Rift Valley fever virus isolate 2018/MRT/2 glycoprotein gene, partial cds	2018		2018/MRT/2	rvf	OK415594.1		
MG659752.1	Rift Valley fever virus	GenBank						13-NOV-2020	SA135/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Homo sapiens		2010			Rift Valley fever virus isolate SA135/10 segment M, complete sequence	2010		SA135/10	rvf	MG659752.1		
PQ436083.1	Rift Valley fever virus	GenBank						18-NOV-2024	CD304/Rubanda2-2023	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3761	partial		M					Homo sapiens		2023-02-01			Rift Valley fever virus isolate CD304/Rubanda2-2023 segment M glycoprotein gene, partial cds	2023-02-01		CD304/Rubanda2-2023	rvf	PQ436083.1		
HM587100.1	Rift Valley fever virus	GenBank						09-DEC-2011	SPU77/04	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	490	partial		M					Homo sapiens		2004			Rift Valley fever virus isolate SPU77/04 segment M glycoprotein G2 gene, partial cds	2004		SPU77/04	rvf	HM587100.1		
KF648855.1	Rift Valley fever virus	GenBank						10-MAR-2014	227603	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	680	partial		M					Homo sapiens		02-Nov-2012			Rift Valley fever virus isolate 227603 nonstructural glycoprotein (G2) gene, partial cds	2012-11-02		227603	rvf	KF648855.1		
ON060836.1	Rift Valley fever virus	GenBank						25-MAR-2023	2021001358_L|Uganda	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	6376	partial		unknown			Uganda		Homo sapiens		2017			Rift Valley fever virus isolate 2021001358_L|Uganda RNA-dependent RNA polymerase gene, complete cds	2017	Uganda	2021001358_L|Uganda	rvf	ON060836.1	1.3733	32.2903
PP747240.1	Rift Valley fever virus	GenBank						15-JAN-2025	AM-M1	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1599	partial		S					Bos taurus		16-Jan-2021			Rift Valley fever virus strain AM-M1 nonstructural protein and nucleocapsid genes, complete cds	2021-01-16		AM-M1	rvf	PP747240.1		
GQ443253.1	Rift Valley fever virus	GenBank						25-JUL-2016	1730-08	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	756	partial		M					Bos taurus	spleen	25-Apr-2008			Rift Valley fever virus strain 1730-08 segment M glycoprotein G2 gene, partial cds	2008-04-25		1730-08	rvf	GQ443253.1		
KY126713.1	Rift Valley fever virus	GenBank						13-NOV-2020	Ar20364	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					Culex zombaensis		1981			Rift Valley fever virus isolate Ar20364 segment M, complete sequence	1981		Ar20364	rvf	KY126713.1		
KY126705.1	Rift Valley fever virus	GenBank						13-NOV-2020	J40/6	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	3885	complete		M					African buffalo		2008			Rift Valley fever virus isolate J40/6 segment M, complete sequence	2008		J40/6	rvf	KY126705.1		
KX944815.1	Rift Valley fever virus	GenBank						25-OCT-2018	M29/10	Phlebovirus riftense	Phlebovirus	Phenuiviridae	genomic RNA	1617	partial		S					bovine		2010			Rift Valley fever virus isolate M29/10 nonstructural protein gene, complete cds; and nucleocapsid protein gene, partial cds	2010		M29/10	rvf	KX944815.1		
